timestamp,pstate,temperature.gpu,power.draw [W],clocks.current.sm [MHz],clocks.current.memory [MHz],utilization.gpu [%],tag
2026/07/12 03:04:41.944, P8, 47, 4.42 W, 210 MHz, 405 MHz, 7 %,after_current_cpu_run5
2026/07/12 03:04:44.012, P8, 47, 4.45 W, 210 MHz, 405 MHz, 7 %,before_old_original_kernel_run1
2026/07/12 03:04:48.527, P3, 48, 14.05 W, 1890 MHz, 7000 MHz, 5 %,after_old_original_kernel_run1
2026/07/12 03:04:50.594, P5, 47, 7.06 W, 300 MHz, 810 MHz, 16 %,before_old_host_o2_kernel_run1
2026/07/12 03:04:55.161, P3, 48, 14.06 W, 1890 MHz, 7000 MHz, 0 %,after_old_host_o2_kernel_run1
2026/07/12 03:04:57.232, P5, 47, 6.94 W, 345 MHz, 810 MHz, 4 %,before_current_kernel_profile0_run1
2026/07/12 03:05:01.539, P3, 48, 14.82 W, 510 MHz, 810 MHz, 0 %,after_current_kernel_profile0_run1
2026/07/12 03:05:03.605, P8, 47, 5.67 W, 255 MHz, 405 MHz, 8 %,before_current_kernel_profile1_run1
2026/07/12 03:05:08.157, P3, 49, 13.67 W, 1890 MHz, 7000 MHz, 7 %,after_current_kernel_profile1_run1
2026/07/12 03:05:10.234, P3, 48, 13.71 W, 1890 MHz, 7000 MHz, 0 %,before_current_kernel_profile1_run2
2026/07/12 03:05:14.666, P3, 49, 13.66 W, 1890 MHz, 7000 MHz, 1 %,after_current_kernel_profile1_run2
2026/07/12 03:05:16.730, P8, 48, 4.40 W, 270 MHz, 405 MHz, 5 %,before_current_kernel_profile0_run2
2026/07/12 03:05:20.974, P3, 49, 13.71 W, 1890 MHz, 7000 MHz, 0 %,after_current_kernel_profile0_run2
2026/07/12 03:05:23.031, P8, 48, 4.28 W, 255 MHz, 405 MHz, 6 %,before_old_host_o2_kernel_run2
2026/07/12 03:05:27.454, P3, 49, 14.11 W, 1890 MHz, 7000 MHz, 1 %,after_old_host_o2_kernel_run2
2026/07/12 03:05:29.528, P8, 48, 4.30 W, 225 MHz, 405 MHz, 6 %,before_old_original_kernel_run2
2026/07/12 03:05:33.924, P3, 49, 13.64 W, 1890 MHz, 7000 MHz, 0 %,after_old_original_kernel_run2
2026/07/12 03:05:35.992, P8, 49, 5.81 W, 270 MHz, 405 MHz, 5 %,before_old_original_kernel_run3
